Borough Name,Code,Count,Population,CrimeRate,TopCrimeType,Lat,Lon,Pop Density,DeprivationScore
Barking and Dagenham,E09000002,86235,218869,394,Violence Against The Person,51.5607,0.1557,6065.8,0.94
Barnet,E09000003,126015,389344,323.7,Theft,51.6252,-0.1517,4488.7,0.72
Bexley,E09000004,65930,246472,267.5,Violence Against The Person,51.4549,0.1505,4070.7,0.72
Brent,E09000005,136320,339816,401.2,Violence Against The Person,51.5588,-0.2817,7859.6,0.9
Bromley,E09000006,103060,329992,312.3,Violence Against The Person,51.4039,0.0198,2197.7,0.62
Camden,E09000007,148805,210136,708.1,Theft,51.529,-0.1255,9640.9,0.8
Croydon,E09000008,147530,390719,377.6,Violence Against The Person,51.3714,-0.0977,4516,0.75
Ealing,E09000009,138725,367115,377.9,Violence Against The Person,51.513,-0.3089,6611.6,0.79
Enfield,E09000010,115260,329984,349.3,Violence Against The Person,51.6538,-0.0799,4082.5,0.86
Greenwich,E09000011,116495,289068,403,Violence Against The Person,51.4892,0.0648,6108.6,0.77
Hackney,E09000012,144665,259146,558.2,Theft,51.545,-0.0553,13593.3,0.85
Hammersmith and Fulham,E09000013,102660,183157,560.5,Theft,51.4927,-0.2339,11161.1,0.71
Haringey,E09000014,139020,264238,526.1,Theft,51.6,-0.1119,8930.2,0.86
Harrow,E09000015,67205,261203,257.3,Violence Against The Person,51.5898,-0.3346,5175.4,0.72
Havering,E09000016,86250,262052,329.1,Violence Against The Person,51.5812,0.1837,2332.3,0.75
Hillingdon,E09000017,124935,305909,408.4,Violence Against The Person,51.5441,-0.476,2644,0.78
Hounslow,E09000018,114060,288181,395.8,Violence Against The Person,51.4746,-0.368,5148,0.82
Islington,E09000019,137725,216589,635.9,Theft,51.5416,-0.1022,14574.9,0.79
Kensington and Chelsea,E09000020,99455,143375,693.7,Theft,51.502,-0.1947,11816.5,0.7
Kingston upon Thames,E09000021,51110,168063,304.1,Theft,51.4085,-0.3064,4512.1,0.6
Lambeth,E09000022,174950,317654,550.8,Theft,51.4607,-0.1163,11839.1,0.73
Lewisham,E09000023,122830,300553,408.7,Violence Against The Person,51.4452,-0.0209,8551.5,0.79
Merton,E09000024,65135,215186,302.7,Violence Against The Person,51.4014,-0.1958,5721.6,0.64
Newham,E09000025,153810,351036,438.2,Violence Against The Person,51.5077,0.0469,9690.1,0.93
Redbridge,E09000026,100210,310260,323,Violence Against The Person,51.559,0.0741,5501.9,0.77
Richmond upon Thames,E09000027,56710,195278,290.4,Theft,51.4479,-0.326,3401.9,0.52
Southwark,E09000028,161880,307637,526.2,Theft,51.4834,-0.0821,10659,0.76
Sutton,E09000029,54740,209639,261.1,Violence Against The Person,51.3618,-0.1945,4781,0.69
Tower Hamlets,E09000030,149950,310306,483.2,Theft,51.5099,-0.0059,15702.9,0.82
Waltham Forest,E09000031,106210,278426,381.5,Violence Against The Person,51.5908,-0.0134,7173.3,0.81
Wandsworth,E09000032,121590,327506,371.3,Theft,51.4568,-0.191,9560,0.59
Westminster,E09000033,245910,204236,1204,Theft,51.4973,-0.1372,9514.2,0.76