Borough Name,Code,Count,Population,CrimeRate,TopCrimeType,Lat,Lon
Barking and Dagenham,E09000002,86235,218869,394,Violence Against The Person,51.5607,0.1557
Barnet,E09000003,126015,389344,323.7,Theft,51.6252,-0.1517
Bexley,E09000004,65930,246472,267.5,Violence Against The Person,51.4549,0.1505
Brent,E09000005,136320,339816,401.2,Violence Against The Person,51.5588,-0.2817
Bromley,E09000006,103060,329992,312.3,Violence Against The Person,51.4039,0.0198
Camden,E09000007,148805,210136,708.1,Theft,51.529,-0.1255
Croydon,E09000008,147530,390719,377.6,Violence Against The Person,51.3714,-0.0977
Ealing,E09000009,138725,367115,377.9,Violence Against The Person,51.513,-0.3089
Enfield,E09000010,115260,329984,349.3,Violence Against The Person,51.6538,-0.0799
Greenwich,E09000011,116495,289068,403,Violence Against The Person,51.4892,0.0648
Hackney,E09000012,144665,259146,558.2,Theft,51.545,-0.0553
Hammersmith and Fulham,E09000013,102660,183157,560.5,Theft,51.4927,-0.2339
Haringey,E09000014,139020,264238,526.1,Theft,51.6,-0.1119
Harrow,E09000015,67205,261203,257.3,Violence Against The Person,51.5898,-0.3346
Havering,E09000016,86250,262052,329.1,Violence Against The Person,51.5812,0.1837
Hillingdon,E09000017,124935,305909,408.4,Violence Against The Person,51.5441,-0.476
Hounslow,E09000018,114060,288181,395.8,Violence Against The Person,51.4746,-0.368
Islington,E09000019,137725,216589,635.9,Theft,51.5416,-0.1022
Kensington and Chelsea,E09000020,99455,143375,693.7,Theft,51.502,-0.1947
Kingston upon Thames,E09000021,51110,168063,304.1,Theft,51.4085,-0.3064
Lambeth,E09000022,174950,317654,550.8,Theft,51.4607,-0.1163
Lewisham,E09000023,122830,300553,408.7,Violence Against The Person,51.4452,-0.0209
Merton,E09000024,65135,215186,302.7,Violence Against The Person,51.4014,-0.1958
Newham,E09000025,153810,351036,438.2,Violence Against The Person,51.5077,0.0469
Redbridge,E09000026,100210,310260,323,Violence Against The Person,51.559,0.0741
Richmond upon Thames,E09000027,56710,195278,290.4,Theft,51.4479,-0.326
Southwark,E09000028,161880,307637,526.2,Theft,51.4834,-0.0821
Sutton,E09000029,54740,209639,261.1,Violence Against The Person,51.3618,-0.1945
Tower Hamlets,E09000030,149950,310306,483.2,Theft,51.5099,-0.0059
Waltham Forest,E09000031,106210,278426,381.5,Violence Against The Person,51.5908,-0.0134
Wandsworth,E09000032,121590,327506,371.3,Theft,51.4568,-0.191
Westminster,E09000033,245910,204236,1204,Theft,51.4973,-0.1372