Borough Name,Code,TotalCrime,Population,CrimeRate,Pop Density
Barking and Dagenham,E09000002,86235,218869,394,6065.8
Barnet,E09000003,126015,389344,323.7,4488.7
Bexley,E09000004,65930,246472,267.5,4070.7
Brent,E09000005,136320,339816,401.2,7859.6
Bromley,E09000006,103060,329992,312.3,2197.7
Camden,E09000007,148805,210136,708.1,9640.9
Croydon,E09000008,147530,390719,377.6,4516
Ealing,E09000009,138725,367115,377.9,6611.6
Enfield,E09000010,115260,329984,349.3,4082.5
Greenwich,E09000011,116495,289068,403,6108.6
Hackney,E09000012,144665,259146,558.2,13593.3
Hammersmith and Fulham,E09000013,102660,183157,560.5,11161.1
Haringey,E09000014,139020,264238,526.1,8930.2
Harrow,E09000015,67205,261203,257.3,5175.4
Havering,E09000016,86250,262052,329.1,2332.3
Hillingdon,E09000017,124935,305909,408.4,2644
Hounslow,E09000018,114060,288181,395.8,5148
Islington,E09000019,137725,216589,635.9,14574.9
Kensington and Chelsea,E09000020,99455,143375,693.7,11816.5
Kingston upon Thames,E09000021,51110,168063,304.1,4512.1
Lambeth,E09000022,174950,317654,550.8,11839.1
Lewisham,E09000023,122830,300553,408.7,8551.5
Merton,E09000024,65135,215186,302.7,5721.6
Newham,E09000025,153810,351036,438.2,9690.1
Redbridge,E09000026,100210,310260,323,5501.9
Richmond upon Thames,E09000027,56710,195278,290.4,3401.9
Southwark,E09000028,161880,307637,526.2,10659
Sutton,E09000029,54740,209639,261.1,4781
Tower Hamlets,E09000030,149950,310306,483.2,15702.9
Waltham Forest,E09000031,106210,278426,381.5,7173.3
Wandsworth,E09000032,121590,327506,371.3,9560
Westminster,E09000033,245910,204236,1204,9514.2